Part Name,Fault Type,Part Price,Date
ROM,Notif,1000,10.10.2017
ROM,Notif,1000,10.10.2017
ROM,Notif,1000,10.10.2017
ROM,Notif,1000,10.10.2017
ROM,Notif,1000,10.10.2017
ROM,Notif,1000,10.10.2017
ROM,Notif,1000,10.10.2017
ROM,Notif,1000,10.10.2017
ROM,Notif,1000,10.10.2017
ROM,Notif,1000,10.10.2017
ROM,Notif,1000,10.10.2017
ROM,Notif,1000,10.10.2017
ROM,Notif,1000,10.10.2017
ROM,Notif,1000,10.10.2017
ROM,Notif,1000,10.10.2017
